exam,knowledge
"反比例函数y和正比例函数y＝mx的部分图象如图，由此可以得到方程mx的实数根为（　　）
 
 A．x＝1B．x＝2C．x1＝1，x2＝﹣1D．x1＝1，x2＝﹣2",4
"若⊙O1，⊙O2的半径分别是r1＝2，r2＝4，圆心距d＝5，则这两个圆的位置关系是（　　）
 A．内切B．相交C．外切D．外离",3
"4的算术平方根是（　　）
A．2B．﹣2C．﹣D．2",0
在同一平面直角坐标系中，正比例函数y＝k1x的图象与反比例函数y＝的图象一个交点的坐标是（﹣2，3），则它们另一个交点的坐标是．,4
"如图，正比例函数的图象与反比例函数的图象交于点点B为x轴正半轴上一点，过B作x轴的垂线交反比例函数的图象于点C，交正比例函数的图象于点
 求a的值及正比例函数的表达式；
 若，求的面积．​​​​​​​",4
已知⊙O的半径为5厘米，若⊙O′与⊙O外切时，圆心距为7厘米，则⊙O′与⊙O内切时，圆心距为厘米．,3
"已知两圆的半径分别为3、5，且它们的圆心距为2，则这两个圆的位置关系为（　　）
 A．外离B．内切C．相交D．内含",3
"如图，点A（m，4），B（﹣4，n）在反比例函数y＝（k＞0）的图象上，经过点A、B的直线与x轴相交于点C，与y轴相交于点D．
 （1）若m＝2，求n的值；
 （2）求m+n的值；
 （3）连接OA、OB，若tan∠AOD+tan∠BOC＝1，求直线AB的函数关系式．
 ",4
设反比例函数y与一次函数y＝x+2的图象交于点（a，b），则的值为　　．,4
"如图所示为一无盖长方体盒子的展开图（重叠部分不计），可知该无盖长方体的容积为（　　）
 
 A．4B．6C．8D．12",2
"正比例函数y1＝k1x和反比例函数y2的图象如图所示，交点A的坐标是（1，4），那么当y1＞y2时，x的取值范围是（　　）
 
 A．x＞1B．x＜1
 C．﹣1＜x＜1D．﹣1＜x＜0或x＞1",4
4是 的算术平方根．,0
"如图，⼀次函数y＝﹣x+6的图象与反⽐例函数y（k为常数，k≠0）的图象交于点A、B，若AB＝4，则k的值是（　　）
 
 A．3B．4C．5D．6",4
"在平面直角坐标系xOy中，函数y（x＞0）的图象G经过点A（4，1），直线l：yb与图象G交于点B，与y轴交于点C．
 （1）求k的值；
 （2）横、纵坐标都是整数的点叫做整点．记图象G在点A，B之间的部分与线段OA，OC，BC围成的区域（不含边界）为W．
 ①当b＝﹣1时，直接写出区域W内的整点个数；
 ②若区域W内恰有4个整点，结合函数图象，求b的取值范围．",4
"的值等于（　　）
 A．3B．﹣3C．&plusmn;3D．
 ",0
"如图，一次函数y＝﹣x+6的图象与反比例函数y（k为常数，k≠0）的图象交于点A、B，若AB＝4，则k的值是（　　）

A．3B．4C．5D．6",4
"如图，点P在反比例函数y＝的图象上，且横坐标为1，过点P作两条坐标轴的平行线，与反比例函数y＝（k＜0）的图象相交于点A、B，则直线AB与x轴所夹锐角的正切值为______．
 ",4
"2的算术平方根是（　　）
A．B．C．&plusmn;D．2",0
"如图，一次函数y＝kx+b与反比例函数y的图象交于A（2，3），B（﹣3，n）两点．
 （1）求一次函数与反比例函数的表达式；
 （2）根据所给条件，请直接写出不等式kx+b的解集；
 （3）过点B作BC⊥x轴，垂足为C，求△ABC的面积．
 
",4
"的平方根是（　　）
A．3B．&plusmn;3C．D．&plusmn;","0,1"
"正比例函数y＝k1x的图象与反比例函数y＝的图象相交于A、B两点，其中点A的横坐标为2，当y1＜y2时，x的取值范围是．
 ",4
"的值等于（　　）
A．B．﹣C．&plusmn;D．",0
"如图，一次函数yx的图象与反比例函数y（k＞0）的图象交于A，B两点，过A点作x轴的垂线，垂足为M，△AOM面积为1．
 （1）求反比例函数的解析式；
 （2）在y轴上求一点P，使PA+PB的值最小，并求出其最小值和P点坐标．
 
",4
"如图，MN是圆柱底面的直径，MP是圆柱的高，在圆柱的侧面上，过点M，P有一条绕了四周的路径最短的金属丝，现将圆柱侧面沿MP剪开，所得的侧面展开图可以是（　　）
 
 A．B．
 C．D．",2
"函数y与y＝m﹣x的图象的一个交点是A（2，3），其中k、m为常数．
 （1）求k、m的值，画出函数的草图．
 （2）根据图象，确定自变量x的取值范围，使一次函数的函数值大于反比例函数的函数值．",4
已知⊙O1与⊙O2相切，两圆半径分别为3和5，则圆心距O1O2的值是_______．,3
"如图，直线y＝x+与双曲线y＝在第一象限内的图象交于一点A（1，1），与x轴负半轴交于点B．点P（m，n）是该双曲线在第一象限内图象上的一点，且P点在A点的右侧，分别过点A、P作x轴的垂线，垂足分别为点C、D，连接PB．则△ABC的面积 △PBD的面积（填“＜”、“＝”或“＞”）．
 ",4
"若反比例函数y＝﹣与一次函数y＝x+b的图象没有交点，则b的值可以是（　　）
 A．B．2C．2D．﹣2",4
9的平方根是，9的算术平方根是．,"0,1"
"如图，在下面网格图中（每个小正方形的边长均为1个单位），⊙A与⊙B的半径均为2，为使⊙A与静止的⊙B相切，那么⊙A需由图示位置向右平移个单位．
 ",3
"下列立体图形中，侧面展开图是扇形的是
 A.B.C.D.",2
"已知两圆半径分别为3cm，5cm，圆心距为7cm，则这两圆的位置关系为
 A.相交B.外切C.内切D.外离",3
在平面直角坐标系xOy中，一次函数与反比例函数的图象交点的横坐标为x0．若k＜x0＜k+1，则整数k的值是_______．,4
"如图，直线y＝k1x+b与双曲线y＝交于A、B两点，其横坐标分别为1和5，则不等式k1x＜+b的解集是__________________．
 ",4
已知线段AB＝7cm．现以点A为圆心，3cm为半径画⊙A；再以点B为圆心，5cm为半径画⊙B，则⊙A和⊙B的位置关系是　　． ,3
已知⊙O1与⊙O2外切，圆心距为8cm，且⊙O1的半径为5cm，则⊙O2的半径为　　厘米．,3
设函数y与y＝x﹣1的图象的交点坐标为（a，b），则的值为　　．,4
在平面直角坐标系xOy中，一次函数的图象与函数的图象相交于点A，设点A的坐标为，那么长为，宽为的矩形的面积为______，周长为______.​​​​​​​,4
设函数y＝与y＝﹣2x﹣6的图象的交点坐标为（a，b），则+的值是______．,4
