exam,knowledge
化学是造福人类的科学，请利用所学知识回答下列问题．（1）化学帮助我们正确认识物质．①氧气可用于　供呼吸　（填一种用途），但氧气也是导致铁锈蚀的因素之一，写出防止铁生锈的一种方法：　涂油漆　；②为了让不爱吃蔬菜的子女营养均衡，家长把榨好的各种颜色的蔬菜汁放在面粉里做成营养丰富的蔬菜面条，这种面条为人体提供的营养素是　糖类和维生素等　；③中考100m短跑项目“发令枪”里的火药成分为KClOMnO2和红磷，当扣动扳机时，首先撞针撞击火药，产生热量使KClO3分解产生O2，然后引燃红磷产生白烟．试分别写这两步反应的化学方程式　2KClO32KCl+3O2↑，4P+5O22P2O5　，（2）化学指导人类合理利用资源．海水晒盐是海水在常温下蒸发得到氯化钠的过程，实验室用氯化钠溶液模拟该过程（如图1）：①已知B溶液恰好是氯化钠的饱和溶液，与B溶液中溶质质量相等的溶液是　A　（填编号）；与B溶液中溶质质量分数相等的溶液是　CD　（填编号）；②氯化钠、硝酸钾、硒酸镉的溶解度曲线如图2所示．t℃时，溶解度最小的是　NaCl　．t℃时，将25g硒酸镉加入　50　g水中，完全溶解后，恰好得到饱和溶液；③将t℃时，硝酸钾饱和溶液变为不饱和溶液的方法是　升温或加水　．（3）化学促进科学技术的发展．①废塑料的急剧增加，造成　白色污染　，为此科学家研制出有“自我修复能力”的塑料，塑料属于　合成　（填“无机”、“合成”或“复合”）材料；②被称之为“软电池”的纸质电池，采用薄层纸片作为传导体，避免传统电池带来的污染问题，该电池总反应为：Zn+2MnO2+H2O＝　ZnO　+2MnO（OH），其中MnO2作　反应物　（填“反应物”、“生成物”或“催化剂”）；③二氧化硅（SiO2）可用于制造光导纤维，氧气和四氯化硅蒸气（SiCl4）在高温条件下可反应生成二氧化硅和氯气（Cl2），该反应的化学方程式是　SiCl4+2O2═SiO2+2Cl2　，属于基本反应类型中的　置换反应　．,80;122;126;151;181;208;215;475;250;259
全国人民期盼已久的奥运会即将在北京召开。请用所学知识回答与奥运会有关的下列问题。（1）北京奥运会的许多方面需要大量材料。下列使用的材料（加黑点）中属于金属材料的是　①②　（填序号，下同），属于有机合成材料的是　③　，属于复合材料的是　④　。（2）人类获得的能量绝大多数来自于天然气、　石油　和煤等化石燃料。北京奥运会使用丙烷（C3H8）作火炬燃料，丙烷燃烧时生成水和二氧化碳，该反应的化学方程式为　C3H8+5O2→3CO2+4H2O　。（3）北京奥运会坚决反对运动员使用兴奋剂。某种兴奋剂的化学式为C16H16O3，该兴奋剂中碳：氢：氧元素的质量比为　12：1：3　。（4）奥运会游泳、跳水等运动项目在“水立方”举行，比赛池中的水要定期进行消毒处理。按照物质的分类，下列某种消毒剂与其他三种消毒剂不属于同一类的是　D　（填序号）。A．ClB．KMnOC．NaClO．D．CuSO4。,64;138;307;348;215;225;250;253
总结归纳是学习化学的一种重要方法．下表是某同学“总结归纳”，其中完全正确的（　　）A化学之最B物质的性质①金刚石是最硬的物质②空气中含量最多的物质是氮③地壳中含量最高的元素是铝①自来水可以养鱼说明氧气能溶于水②“真金不怕火炼”，说明金的化学性质稳定③碱式碳酸铜能溶于稀盐酸，说明二者能反应C物质用途D物质的组成与分类①活性炭常用于除去水中的异味②干冰可用于人工降雨③一氧化碳可用于冶炼金属①冰与干冰组成元素相同，分类也相同②水与双氧水组成元素相同，分类也相同③金刚石与石墨组成元素相同，分类也相同A．AB．BC．CD．D,69;78;140;332;98;101;174;391
某同学梳理并归纳了以下知识点，其中正确的是（　　）①分离液态空气制取氧气是分解反应；②缓慢氧化和剧烈氧化都是放热反应；③把红热的木炭插入盛有氧气的集气瓶时，要自上而下快速插入；④做硫和铁丝在氧气中燃烧的实验时，预先在集气瓶中装有少量的水，其作用是不相同的；⑤催化剂在化学反应前后质量和性质均不发生改变；⑥二氧化氮、一氧化碳、二氧化硫均是大气污染物；⑦物理变化与化学变化的本质区别在于反应前后是否有其他物质生成。A．②④⑥⑦B．①③⑤⑥C．②④⑤⑦D．①②⑥⑦,82;90;190;191;203;224;75;79
水和溶液在生产生活中起着重要的作用．（1）氢气燃烧是人们认识水组成的开始，该反应的化学方程式为　2H2+O22H2O　．（2）如图实验中，水用来隔绝空气的是　D　（填字母序号）．（3）为检测饮用水是否为硬水，可向所取水样及另一软水中加入等量的　肥皂水　来判断．生活中将硬水软化的方法是　煮沸　，此过程产生水垢，其成分是CaCO3和Mg（OH）实验室从该水垢中提取氯化钙晶体的主要流程如图：向滤液中加入盐酸的目的是　Ca（OH）2+2HCl＝CaCl2+2H2O　（用化学方程式解释）．（4）20℃时，取甲、乙、丙、丁四种物质各20g，分别加入到四个盛有50g水的烧杯中，充分溶解，情况如表（温度保持20℃），下列说法正确的是　BCD　（填字母序号）．物质甲乙丙丁未溶解固体的质量/g2A．所得溶液一定都是饱和溶液B、溶质质量分数最大的是丙溶液C．所得四种溶液的质量关系为：丙＞乙＞甲＞丁D．20℃时四种物质溶解度的关系为：丙＞乙＞甲＞丁．,107;110;121;124;130;161;163;106
“生活即学习”、“社会即教材”，化学在衣食住行、环境能源、材料科学、医疗卫生等方面越来越大地体现自己的价值．我们要善于利用学到的化学知识来解决各种问题．（1）如图反映了严重的水污染给人们生活带来的问题之一．请你写出一种造成水体污染的来源　工业废水任意排放、生活污水随意排放、农业上滥用农药和化肥等　；为了节约用水，有同学利用所学的知识将浑浊的水用如图所示的简易净水器进行净化，其中活性炭的作用是　吸附　．如果将石英砂与小卵石的位置颠倒会导致的后果是　降低净水效率、过滤速度减慢等　．净化后的水硬度大，或者净化后的水中病原微生物过多，都可以采取　加热煮沸　方法，来降低硬度和杀灭病原微生物．（2）为了迎接旅游节的到来，我市某校开展了以保护大气环境为主题的调查研究活动．下列是某综合实践活动小组的部分研究报告，请加以完善．①列入目前我国城市空气质量监测项目的物质主要有三种，如图中没有涉及到的是这三种物质中的哪一种？　可吸入颗粒物和臭氧　．②利用火力发电对大气的污染程度较为严重．日前，由BP太阳能参与建设的太阳能光伏发电系统在深圳园博园已经正式运行．这套系统能在降低环境污染的同时，将　太阳　能转化为　电　能．③在汽车排气管上安装尾气净化装置，可使尾气中的一氧化碳和一氧化氮在催化剂表面发生反应，产生两种空气组成的气体，一种是空气中最多的气体，另一种是常用于灭火的气体．写出该反应的文字表达式　一氧化碳+一氧化氮氮气+二氧化碳　．尾气净化装置中的催化剂使用过程中　不要　（填“要”或“不要”）经常更换催化剂，因为　化学反应前后催化剂的质量和化学性质保持不变　．（3）小强同学在公共场所围墙上看到一则化肥广告（如图）．回校后，小强通过计算氮的质量分数发现该广告是虚假广告．小强认为此广告会坑害农民，向有关部门反映，技术监督局对该产品取样分析，发现硝酸铵的质量分数仅为0%，则该产品中氮元素质量分数为　28%　．国内首创优质硝酸铵NH4NO3含氮量全球最高（38%）,112;349;215;75;76;90;108;110
水在化学实验中的作用不可忽视．请回答下列相关问题：（1）如图中五个实验分别用到水．请回答：①实验A中水作　溶剂　（填“溶剂”或“溶质”）②实验B中水的作用是防止集气瓶　炸裂　．③实验C中，通过烧杯中的水进入集气瓶中的体积，可得出氧气约占空气总体积　　的结论．④实验D中水的作用是提供热量和　隔绝空气　．⑤实验E中的水作　溶剂和反应物　．（2）水是很好的溶剂．下表是KNO3和KCl在不同温度时的溶解度，请回答下列问题：温度/C010203040506070溶解度/gKNO5110138KCl3①40℃时，向两个分别盛有45gKNO3和KCl固体的烧杯中，各加入100g的水，充分溶解后，结果如右上图所示，则乙烧杯中的溶质是　KNO3　．②采用任意一种操作方法，将上述烧杯中的剩余固体全部溶解，并将溶液变为不饱和溶液．下列说法中正确的是　ACD　（填字母）．A．溶剂质量可能不变B．溶液中溶质的质量分数一定增大C．溶液质量一定增大D．可采用升温或加水的方法．,43;73;79;122;125;130;97;219
实验室有一瓶保存不当的试剂（如图所示），其残缺的标签中只剩下“Na”和“10%”字样．已知它是无色液体，是初中化学常用的试剂．小华等几位同学很感兴趣，决定对其成分进行探究．【提出问题】这瓶试剂溶质是什么？【交流研讨】根据受损标签的情况判断，这瓶试剂不可能是　A　（填字母序号）．A．酸B．碱C．盐【查阅资料】①初中化学常见的含钠化合物有NaCl、NaOH、Na2CONaHCO②Na2CONaHCO3溶液都呈碱性．NaCl溶液呈中性．③室温下（20℃）时，4种物质的溶解度的数据如下．物质NaClNaOHNa2CO3NaHCO3溶解度/g6【猜想与实验】①可能是Na2CO3溶液；②可能是NaOH溶液；③可能是NaCl溶液．（1）小亮用洁净的玻璃棒蘸取该溶液，滴到干燥的pH试纸上，测得pH＝11，他判断该溶液不可能是　NaCl溶液　．（2）小强为了确定该溶液的成分，进行了如下实验．操作步骤实验现象结论及化学方程式取样品于试管中，滴加足量稀盐酸有　有气泡冒出　猜想①正确，发生反应的化学方程式是　Na2CO3+2HCl＝2NaCl+H2O+CO2↑　【质疑】小华则不同意小强的观点，认为溶液中有Na2CO3还可能有NaOH．小华又进行了以下探究：步骤现象结论步骤一：取样品于试管中，向其中滴加足量的CaCl2溶液并过滤有　白色沉淀　生成溶液中既含Na2CO3，又含有NaOH步骤二：向上述滤液中滴加酚酞试液溶液变　红　色【反思与评价】在小华的探究中，小洋提出可用氢氧化钙溶液代替氯化钙溶液，你认为该方案是否可行，并说明理由　不可行，因为氢氧化钙与碳酸钠反应会生成氢氧化钠，这样无法确定步骤二的实验结论，也得不出氢氧化钠部分变质的结论　．【理解与应用】（1）氢氧化钠溶液容易变质，必须密封保存．实验室必须密封保存的药品还有很多，试另举一例：　浓硫酸　．（2）取上述瓶中溶液50克，向其中加入足量的氢氧化钡溶液，完全反应后得到97克白色沉淀，求上述溶液中碳酸钠的质量分数．（写出计算过程）,14;132;133;166;174;309;215;216
食品保鲜可以防止食品腐坏，保持食品的营养和味道．食品保鲜的措施有添加防腐剂、充填气体、放置干燥剂和脱氧保鲜剂等．（1）包装熟食制品常加入防腐剂．丙酸钠是一种食品防腐剂，化学式为C3H5O2Na，丙酸钠是由　四　种元素组成；（2）小包装糕点类食品常采用充气包装，氮气是常用的充填气体．请你根据氮气的性质写出选用氮气的主要原因是　化学性质不活泼　；（3）生石灰（氧化钙）和硅胶（主要成分是二氧化硅）是常用的干燥剂．生石灰和二氧化硅都属于　③④　（填序号）．①单质②混合物③氧化物④化合物（4）某脱氧保鲜剂主要成分为活性铁粉，利用铁与氧气、水反应生成氢氧化铁，来吸收包装袋中的氧气，从而延长食品的保质期．该反应属于　化学　变化（填“物理”或“化学”），反应类型为　化合反应　（填基本反应类型）．,20;91;303;305;307;340;192;208
化学不仅与我们的生产、生活密切相关，更是人类进步的关键。（1）选用下列物质的序号填空：a．生石灰b．金刚石c．氢氧化铝d．稀有气体。①可用来裁玻璃的是　b　。②可用来做干燥剂的是　a　。③可用于治疗胃酸过多的是　c　。④可用于填充霓虹灯的是　d　。（2）武汉抗疫期间修建了火神山、雷神山两座方舱医院，用到了大量铝合金材料，请写出铝制品耐腐蚀的原因　铝能和氧气反应生成致密的氧化铝保护膜　。（3）成都市已全面启动城镇生活垃圾分类工作，生活垃圾将全面得到无害化处理。现有下列四种生活垃圾，不能投放到可回收物垃圾桶内的是　C　（填序号）。A．玻璃啤酒瓶B．金属易拉罐C．废弃水果皮D．塑料饮料瓶（4）保护水源就是保护我们的生命之源。自来水厂通常用高铁酸钾（K2FeO4）作为净水剂和消毒剂来处理天然水。在高铁酸钾中，铁、氧两种元素的原子个数之比为　1：4　（填最简整数比）。②如图为电解水的装置。通电前，需向水中加入少量硫酸钠，其目的是　增强水的导电性　，再向水中加入酚酞溶液，溶液呈无色。通电一段时间后，2试管中收集到的是　氧气　，1试管中溶液变红，说明1试管中溶液pH　＞　（填“＞”“＜”或“＝”）7。（5）化石燃料的大量使用会影响生态环境。汽车尾气中的氮氧化物，现在的汽车排气管上都安装了“催化转化器”，使尾气中的一氧化碳和氮氧化物（NOx）转化为氮气和二氧化碳，这样就能减少对空气的污染，其主要原因是　B　（填下列选项序号之一）。A．生成的N2属于单质B．生成的N2和CO2都不属于空气污染物C．生成的N2和CO2都不能燃烧D．生成的CO2属于氧化物（6）绿色化学也称环境友好化学，就是利用化学原理，实现从生产源头减少或消除对环境的污染。某化学小组的同学欲利用单质铜制备硫酸铜，设计了如下甲、乙两个制备实验方案：甲：CuCuOCuSO4乙：CuCuSO4（已知：Cu+2H2SO4（浓）CuSO4+SO2↑+2H2O）在上述两方案中，更符合绿色化学观念的是　甲　（填“甲”或“乙”）。若取相同质量的单质铜，分别用上述两方案制备硫酸铜，将两者理论上最多可制备硫酸铜的质量进行比较，结果为　C　（填下列选项序号之一）。A.甲方案较多B.乙方案较多C.二者相等,30;91;104;140;332;166;156
