exam,knowledge
若（m﹣2）x|m|﹣1﹣1＞5是关于x的一元一次不等式，求m的值．,167
已知（m+2）x|m+﹣1＞2是关于x的一元一次不等式，求m的值．,167
在一元一次不等式的定义中，为什么要有“系数不等于0”这一限制条件？可举例说明．,167
若2≥7是关于x的一元一次不等式，则m＝　﹣2　．,167
试写出含有未知数y的一个一元一次不等式：　y﹣2＞5（答案不唯一）　．,167
下列各式中，是一元一次不等式的有（　　）（1）x+2+x2＜2x﹣5+x2；（2）2x+xy+y；（3）3x﹣4y≥0；（4）5＜x；（5）x≠0；（6）a2+1＞A．1个B．2个C．3个D．4个,167
不等式3x﹣4＞2的解集是　x＞2　．,168
解不等式：,168
若关于x的不等式x≥m﹣1的解集是x≥﹣1，则m的值是（　　）A．1B．0C．﹣1D．﹣2,168
不等式﹣2x＜4的解集是　x＞﹣2　．,168
观察下列解不等式的步骤，并回答问题：哪一步开始出错？请你完整写出解这个不等式的过程．解：3（1+x）≤2（1+2x）+1…①3+3x≤2+4x+1…②3x﹣4x≤2+1﹣3…③﹣x≤0…④x≤0…⑤．,168
解方程组或不等式：（1）；（2）,168;131
重庆市实验中学校为做好开学前后新冠肺炎疫情防控工作，保障广大师生员工生命安全和身体健康，决定购买一定数量的防疫物质，学校原计划订购84消毒液和医用酒精共5000瓶，已知84消毒液每瓶单价为20元，医用酒精每瓶单价为24元．（1）若学校计划购买防疫物资的总金额不超过112000元，那么原计划最多购买酒精多少瓶？（2）若学校决定就以112000元购买这批防疫物资，按照（1）中酒精的最大数量进行购买，但学校统计发现需要购进更多的84消毒液，于是在原计划的基础上酒精少订购了10m瓶，84消毒液多订购了原计划的50%，医药生产厂家决定对84消毒液给予优惠，单价降低元，酒精单价不变，最终学校只比原计划多花费了10m元，求m的值．,171;122
为提升办学条件，某学校计划购买部分A、B两种型号电脑．若购买2台A型电脑和3台B型电脑共需13500元；购买1台A型电脑和1台B型电脑共需5500元．（1）求每台A型电脑和每台B型电脑的售价分别是多少元？（2）经市场调查，现有两家商场分别推出了优惠套餐：甲商场：A型电脑和B型电脑均打九折出售；乙商场：A型电脑每满1000元减150元，B型电脑无优惠活动；该校需要购买A型电脑和B型电脑共50台，且只能选择一家商场购买，则该学校至少购买多少台A型电脑才能使选择乙商场购买更划算？,171;953
某单位为响应政府号召，需要购买分类垃圾桶8个，市场上有A型和B型两种分类垃圾桶，A型分类垃圾桶400元/个，B型分类垃圾桶450元/个，总费用不超过3300元，则不同的购买方式有（　　）A．2种B．3种C．4种D．5种,171
袋子里有同样大小的红球和黄球各5个，要想摸出的球一定有2个同色的，最少要摸出　3　个球．,171
一次奥运知识竞赛中，一共有25道题，答对一题得10分，答错（或不答）一题扣5分．若小明同学的竞赛成绩超过100分，则他至少答对　16　道题．,171
某次数学测验中有16道选择题，评分办法：答对一道得6分，答错一道扣2分，不答得0分．某学生有一道题未答，那么这个同学至少要答对　12　道题，成绩才能在60分以上．,171
下列不等式组不属于一元一次不等式组的是（　　）A．B．C．D．,172
下列不等式组是一元一次不等式组的是（　　）A．B．C．D．,172
一元一次不等式组：把两个具有　相同　未知数的一元一次不等式合起来，就组成一个一元一次不等式组．,172
下列各式不是一元一次不等式组的是（　　）A．B．C．D．,172
